----------------- simpwiki -------------------
sg200_w15_min200, vocab size: 36159, formal vacab: enWiki_vocab, tuple num: 255, correct: 7, top20: 29, top50: 41, top100:50
cbow100_w5_min200, vocab size: 36159, formal vacab: enWiki_vocab, tuple num: 255, correct: 12, top20: 34, top50: 44, top100:51
cbow200_w5_min200, vocab size: 36159, formal vacab: enWiki_vocab, tuple num: 255, correct: 13, top20: 37, top50: 45, top100:56
cbow100_w10_min200, vocab size: 36159, formal vacab: enWiki_vocab, tuple num: 255, correct: 12, top20: 35, top50: 40, top100:50
cbow200_w10_min200, vocab size: 36159, formal vacab: enWiki_vocab, tuple num: 255, correct: 15, top20: 39, top50: 44, top100:54
cbow100_15_min200, vocab size: 36159, formal vacab: enWiki_vocab, tuple num: 255, correct: 11, top20: 33, top50: 40, top100:50
cbow200_15_min200, vocab size: 36159, formal vacab: enWiki_vocab, tuple num: 255, correct: 12, top20: 36, top50: 46, top100:53
ft100_w5_min200, vocab size: 36160, formal vacab: enWiki_vocab, tuple num: 255, correct: 9, top20: 27, top50: 39, top100:43
ft200_w5_min200, vocab size: 36160, formal vacab: enWiki_vocab, tuple num: 255, correct: 8, top20: 34, top50: 41, top100:50
ft100_w10_min200, vocab size: 36160, formal vacab: enWiki_vocab, tuple num: 255, correct: 8, top20: 21, top50: 35, top100:39
ft200_w10_min200, vocab size: 36160, formal vacab: enWiki_vocab, tuple num: 255, correct: 6, top20: 25, top50: 36, top100:51
ft100_15_min200, vocab size: 36160, formal vacab: enWiki_vocab, tuple num: 255, correct: 5, top20: 20, top50: 27, top100:33
ft200_15_min200, vocab size: 36160, formal vacab: enWiki_vocab, tuple num: 255, correct: 7, top20: 30, top50: 34, top100:49
